Set,Price_Euro,Pieces,Minifigs
Heartlake City Amusement Pier,126.71,1251,
Turtles Rescue Mission,19.49,225,
Dolphins Rescue Mission,38.98,363,
Heartlake City Restaurant,58.48,624,
Lighthouse Rescue Centre,58.48,602,
Rescue Mission Boat,87.72,908,
LEGO Friends Advent Calendar,24.99,330,
Olivia's Hamster Playground,9.74,81,
Andrea's Summer Heart Box,7.99,83,
Emma's Summer Heart Box,7.99,86,
Stephanie's Summer Heart Box,7.99,95,
Olivia's Summer Heart Box,7.99,93,
Mia's Summer Heart Box,7.99,85,
Emmet,,113,
Wyldstyle,,134,
Benny,,103,
Sweet Mayhem,,137,
Cherry Picker,9.74,155,
Power Boat,14.99,174,
Getaway Truck,19.99,128,
Police Pursuit,19.49,120,
Rescue Helicopter,29.99,325,
Chevrolet Corvette ZR1,39.99,579,
Tracked Loader,59.99,827,
Remote-Controlled Stunt Racer,79.99,324,
Porsche 911 RSR,199.99,1580,
Compact Crawler Crane,87.72,920,
Car Transporter,149.99,2493,
4x4 X-Treme Off-Roader,229.99,958,
Liebherr R 9800,449.99,4108,
Land Rover Defender,199.99,2573,
Elsa's Ice Palace,69.99,701,
City Shaper Challenge Kit,,2238,
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,
Ski Resort,77.97,806,
Jet Patrol,9.74,54,
Sky Police Drone Chase,19.49,192,
Parachute Arrest,29.23,218,
Diamond Heist,49.99,400,
Air Base,73.1,529,
Barbecue Burn Out,9.74,64,
Dock Side Fire,14.61,97,
Burger Bar Fire Rescue,29.99,327,
Fire Station,59.99,509,
Downtown Fire Brigade,99.99,943,
Fire Plane,38.98,363,
Desert Rally Racer,9.99,75,
Construction Loader,9.99,88,
Garbage Truck,19.99,90,
Diving Yacht,19.99,148,
Snow Groomer,19.49,197,
Harvester Transport,29.99,358,
Satellite Service Mission,9.74,84,
Rover Testing Drive,19.49,202,
Mars Research Shuttle,29.99,273,
Lunar Space Station,48.73,412,
Deep Space Rocket and Launch Control,99.99,837,
Rocket Assembly & Transport,129.99,1055,
People Pack - Space Research and Development,38.98,209,
Fire Chief Response Truck,19.49,201,
Garage Centre,38.98,234,
Donut Shop Opening,79.99,790,
People Pack - Fun Fair,38.98,183,
LEGO City Advent Calendar,19.99,234,
Straight & T-Junction ,9.74,2,
Curves & Crossroad,9.74,2,
Police Patrol Car,9.99,92,
Kayak Adventure,9.99,84,
Super Pack 3-in-1,,0,
Super Pack 2-in-1 ,,0,
Super Pack 2-in-1 ,,0,
Bonus/Value pack,,218,
Bonus/Value pack,,125,
2-in-1 Value Pack: Star-Lord & Gamora,,249,
Super Pack 3-in-1,,0,
Super Pack 3-in-1,,0,
Super Pack 3-in-1,,0,
J.B.'s Ghost Lab,19.99,174,
Wrecked Shrimp Boat,29.23,310,
Graveyard Mystery,29.23,335,
El Fuego's Stunt Truck,38.98,428,
Shrimp Shack Attack,48.73,579,
Paranormal Intercept Bus 3000,58.48,689,
Ghost Train Express,77.97,698,
Newbury Haunted High School,116.97,1474,
Spinjitzu Kai,9.99,97,
Spinjitzu Jay,9.99,97,
Spinjitzu Zane,9.99,109,
Spinjitzu Cole,9.99,117,
Spinjitzu Nya & Wu,19.99,227,
Spinjitzu Lloyd vs. Garmadon,19.99,208,
The Samurai Mech,14.61,154,
The Golden Dragon,19.49,171,
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,
Jay's Storm Fighter,38.98,490,
Cole's Earth Driller ,49.99,587,
Monastery of Spinjitzu,77.97,1070,
Lloyd's Journey,14.61,81,
Cole's Dirt Bike,19.49,212,
Shuricopter,29.23,361,
Fire Fang,43.86,463,
Katana 4X4,48.73,450,
Lloyd's Titan Mech,68.23,876,
Land Bounty,126.71,1178,
Castle of the Forsaken Emperor,97.47,1218,
The Ultra Dragon,87.72,951,
Monastery Training,9.99,122,
Spinjitzu Slam - Lloyd,9.74,70,
Spinjitzu Slam - Jay,9.74,72,
Spinjitzu Slam - Zane,9.99,63,
Spinjitzu Slam - Kai vs. Samurai,19.49,164,
